Reporting Year,Building ID,Building Status,Property Address Street*,Property Address City*,Property Address Postal Code*, Assessor Gross Floor Area* , Reported Gross Floor Area** ,Primary Property Type**,Energy Star Certification - Years Certified**,Energy Star Certification Recent**,Energy Star Score**,Site EUI**,Source EUI**,Weather Normalized Site EUI**,Weather Normalized Source EUI**,Total GHG Emissions**, Electricity Use Grid Purchase and Onsite (KWh)** , Electricity Use Grid Purchase (KWh)** , Natural Gas Use (kBtu)** , Natural Gas Use (therms)** ,District Chilled Water Use**,District Hot Water Use**,District Steam Use**,Indoor Water Use All Water Sources**,Indoor Water Intensity All Water Sources**,Outdoor Water Use All Water Sources**,Water Use**,Water Score**
2023,M10612,in compliance,3000 Ne 2 Av,Miami,33137,"1,235,348","950,456",Multifamily Housing,0,0,89,38.3,102.8,38.2,101.9,3917.4,"9,961,274","9,961,273","2,449,530","24,495",0,0,0,0,0,0,34908.3,48
2023,M10613,in compliance,3101 Ne 1 Av,Miami,33137,"779,491","502,871",Multifamily Housing,0,0,29,57.2,144.8,56.6,142.2,2947.1,"7,139,699","7,139,698","4,379,874","43,799",0,0,0,0,0,0,14115.1,0
2023,M10621,in compliance,340 W Flagler St,Miami,33131,"539,000","493,634",Other - Lodging/Residential,0,0,0,25.4,71.2,24.8,69.4,1398.1,"3,677,264","3,677,264", -   , -   ,0,0,0,0,0,0,12656.2,0
2023,M10622,in compliance,3400 Biscayne Blvd,Miami,33137,"110,576","110,576",Hotel,0,0,90,58.6,132.7,58.6,132.7,606.3,"1,318,069","1,318,069","1,979,400","19,794",0,0,0,4542,41.1,0,4542,0
2023,M10626,in compliance,3460 Sw 8 St,Miami,33135,"119,800","119,800",Self-Storage Facility,0,0,0,15.5,43.5,15.1,42.3,207.5,"545,743","545,743", -   , -   ,0,0,0,141,1.2,0,141,0
2023,M10633,in compliance,3880 Sw Bird Rd,Miami,33146,"470,000","470,019",Multifamily Housing,0,0,99,23.3,62.3,23.1,61.6,1174.7,"2,980,651","2,980,651","779,904","7,799",0,0,0,0,0,0,19992.5,4
2023,M10635,in compliance,3930 Nw 7 St,Miami,33126,"193,273","199,410",Multifamily Housing,0,0,100,20,55.9,19.8,55.4,443.7,"1,167,112","1,167,112", -   , -   ,0,0,0,0,0,0,4602.2,49
2023,M10639,in compliance,455 Ne 24 St,Miami,33137,"272,052","479,657",Multifamily Housing,0,0,100,24.3,67.9,23.9,67,1297,"3,411,368","3,411,368", -   , -   ,0,0,0,0,0,0,9419.1,0
2023,M10643,in compliance,51 Nw 26 St,Miami,33127,"240,174","195,723",Multifamily Housing,0,0,84,37.2,100.5,37.4,100.1,785.6,"2,012,670","2,012,670","416,126","4,161",0,0,0,0,0,0,5502.6,64
2023,M10644,in compliance,55 Ne 5 St,Miami,33132,"1,422,969","1,504,491",Other - Lodging/Residential,0,0,0,28.1,78.8,28,78.4,4717.1,"12,407,110","12,407,104", -   , -   ,0,0,0,0,0,0,26788.9,0
2023,M10650,in compliance,58 Ne 14 St,Miami,33132,"1,016,745","683,732",Other - Lodging/Residential,0,0,0,27.7,77.6,26.9,75.3,2111.5,"5,553,725","5,553,724", -   , -   ,0,0,0,0,0,0,29476.7,0
2023,M10655,in compliance,601 Ne 27 St,Miami,33137,"235,170","235,170",Multifamily Housing,0,0,100,15.1,42.4,14.6,40.9,396.8,"1,043,659","1,043,659", -   , -   ,0,0,0,3159.9,13.4,482.5,3642.4,68
2023,M10659,in compliance,650 Ne 2 Av,Miami,33132,"1,006,909","1,006,909",Multifamily Housing,0,0,98,25.8,66.3,25,64.2,2688.9,"6,616,069","6,616,068","3,373,825","33,738",0,0,0,0,0,0,21492.5,71
2023,M10663,in compliance,701 S Miami Av,Miami,33130,"1,361,679","761,320",Other - Mall,0,0,0,74.6,208.7,73.1,204.8,6324.4,"16,634,460","16,634,456", -   , -   ,0,0,0,0,0,0,44723.8,0
2023,M10664,in compliance,702 Sw 1 St,Miami,33130,"314,400","290,132",Multifamily Housing,0,0,76,32.5,91.1,32.5,91.1,1049.2,"2,765,947","2,765,947", -   , -   ,0,0,0,0,0,0,748.4,100
2023,M10668,in compliance,7865 Ne 10 Av,Miami,33138,"124,957","124,957",Self-Storage Facility,0,0,0,11.5,32.2,11.2,31.3,159.9,"420,667","420,667", -   , -   ,0,0,0,605,4.8,0,605,0
2023,M10669,in compliance,7965 Ne Bayshore Ct,Miami,33138,"791,168","431,977",Multifamily Housing,0,0,100,23.6,66,23.2,65,1134.4,"2,983,807","2,983,807", -   , -   ,0,0,0,0,0,0,20539.5,39
